Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
vm242tornode,DE,982,70,46.4.34.242,vm242.zilox-it.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2014-02-14,HETZNER-AS - DE,24940,4000,None
rogemedic,US,981,203,208.38.243.107,1220354-v3469-static.wbshinaa.metronetinc.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-11-10,AS-CMN - Metronet- US,30600,20,None
schnapfelum,DE,981,778,91.143.80.220,91-143-80-220.blue.kundencontroller.de,4443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.8.10 on Linux,0,0,2014-06-11,ISPPRO-AS EUserv / KOS-Online / Keepfree- DE,35366,6430,[2a02:180:a:16:e:e:e:e]:4443
GhostCar1,CA,979,3771,167.114.77.222,167.114.77.222,9001,1415,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-07-12,OVH - FR,16276,20,None
ididntedittheconfig,RU,979,640,94.242.59.61,srv1014.sylvanas.xyz,443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.8.10 on Linux,0,0,2016-11-18,FISHNET-AS - RU,43317,8610,None
PrincipalCinch,NL,979,77,146.185.182.140,cinch.atx.name,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-12-15,DIGITALOCEAN-ASN-1 - EU,200130,9300,None
brevifolia,US,976,40,192.95.22.146,ip146.ip-192-95-22.net,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.8.9 on Linux,0,0,2016-07-25,OVH - FR,16276,5850,None
PatrickTOR1,MD,976,359,185.163.45.150,185-163-45-150.mivocloud.com,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2016-12-04,MIVOCLOUD - MD,39798,6590,[2001:67c:2db8:7::3e3]:443
kbtr4eu,FR,975,169,163.172.163.137,kbtr4eu.tor-relay.me,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-06-12,AS12876 - FR,12876,5530,None
biophilia,CH,974,1586,31.171.244.51,biophilia2.amity.be,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on FreeBSD,0,0,2015-05-03,CLOUDSIGMA-AS - CH,50837,5060,None
ZaraLarsson,FR,971,212,5.39.94.60,ns3280240.ip-5-39-94.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-05-05,OVH - FR,16276,9640,None
IRINA,UA,970,807,91.213.8.101,s101.justhost.in.ua,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-12-01,XSERVER-IP-NETWORK-AS - UA,48031,5140,None
